recipient_genome	recipient_contig	break_position (bp)	inserted_sequence
GCF_003697165.2_ASM369716v2_genomic	NZ_CP033092.2	63414	GCF_003697165.2_WP_001161829.1
GCF_003697165.2_ASM369716v2_genomic	NZ_CP033092.2	250981	GCF_003697165.2_WP_000637953.1
GCF_003697165.2_ASM369716v2_genomic	NZ_CP033092.2	508308	GCF_022869645.1_WP_002246814.1
GCF_003697165.2_ASM369716v2_genomic	NZ_CP033092.2	1199243	GCF_000007645.1_WP_025987217.1
GCF_003697165.2_ASM369716v2_genomic	NZ_CP033092.2	1291888	GCF_000007645.1_WP_001829767.1
GCF_003697165.2_ASM369716v2_genomic	NZ_CP033092.2	1367714	GCF_000007645.1_WP_001829830.1
GCF_003697165.2_ASM369716v2_genomic	NZ_CP033092.2	2410520	GCF_000347875.1_WP_002275849.1
GCF_003697165.2_ASM369716v2_genomic	NZ_CP033092.2	2823744	GCF_000347875.1_WP_002263354.1
GCF_003697165.2_ASM369716v2_genomic	NZ_CP033092.2	2846742	GCF_000010505.1_PGN_RS11095
GCF_003697165.2_ASM369716v2_genomic	NZ_CP033092.2	4280906	GCF_000010505.1_WP_012457644.1
GCF_003697165.2_ASM369716v2_genomic	NZ_CP033091.2	None	None
GCF_022869645.1_ASM2286964v1_genomic	NZ_CP064367.1	6691	GCF_003697165.2_WP_001111997.1
GCF_022869645.1_ASM2286964v1_genomic	NZ_CP064367.1	33224	GCF_003697165.2_WP_001331850.1
GCF_022869645.1_ASM2286964v1_genomic	NZ_CP064367.1	77519	GCF_022869645.1_WP_082308600.1
GCF_022869645.1_ASM2286964v1_genomic	NZ_CP064367.1	815502	GCF_022869645.1_WP_002225310.1
GCF_022869645.1_ASM2286964v1_genomic	NZ_CP064367.1	1111682	GCF_022869645.1_WP_002219840.1
GCF_022869645.1_ASM2286964v1_genomic	NZ_CP064367.1	1359494	GCF_022869645.1_WP_002219079.1
GCF_022869645.1_ASM2286964v1_genomic	NZ_CP064367.1	1500347	GCF_000007645.1_WP_025987217.1
GCF_022869645.1_ASM2286964v1_genomic	NZ_CP064367.1	1776222	GCF_000007645.1_WP_001831211.1
GCF_022869645.1_ASM2286964v1_genomic	NZ_CP064367.1	1853656	GCF_000347875.1_WP_002261948.1
GCF_022869645.1_ASM2286964v1_genomic	NZ_CP064367.1	2048760	GCF_000010505.1_WP_012458733.1
GCF_000007645.1_ASM764v1_genomic	NC_004461.1	288206	GCF_003697165.2_WP_001363072.1
GCF_000007645.1_ASM764v1_genomic	NC_004461.1	570897	GCF_003697165.2_WP_001293151.1
GCF_000007645.1_ASM764v1_genomic	NC_004461.1	580433	GCF_022869645.1_IUJ45_RS00635
GCF_000007645.1_ASM764v1_genomic	NC_004461.1	722150	GCF_022869645.1_WP_002219840.1
GCF_000007645.1_ASM764v1_genomic	NC_004461.1	837017	GCF_022869645.1_WP_002246814.1
GCF_000007645.1_ASM764v1_genomic	NC_004461.1	935673	GCF_000007645.1_WP_001831211.1
GCF_000007645.1_ASM764v1_genomic	NC_004461.1	1056346	GCF_000347875.1_D820_RS10845
GCF_000007645.1_ASM764v1_genomic	NC_004461.1	1665237	GCF_000347875.1_WP_002267248.1
GCF_000007645.1_ASM764v1_genomic	NC_004461.1	1765683	GCF_000347875.1_WP_002261948.1
GCF_000007645.1_ASM764v1_genomic	NC_004461.1	2276122	GCF_000010505.1_WP_012458733.1
GCF_000007645.1_ASM764v1_genomic	NC_005008.1	None	None
GCF_000007645.1_ASM764v1_genomic	NC_005007.1	None	None
GCF_000007645.1_ASM764v1_genomic	NC_005006.1	None	None
GCF_000007645.1_ASM764v1_genomic	NC_005005.1	None	None
GCF_000007645.1_ASM764v1_genomic	NC_005004.1	None	None
GCF_000007645.1_ASM764v1_genomic	NC_005003.1	None	None
GCF_000347875.1_ATCC25175_V1_genomic	NZ_AOCB01000001.1	None	None
GCF_000347875.1_ATCC25175_V1_genomic	NZ_AOCB01000002.1	55325	GCF_003697165.2_WP_001363072.1
GCF_000347875.1_ATCC25175_V1_genomic	NZ_AOCB01000003.1	147784	GCF_022869645.1_WP_002249454.1
GCF_000347875.1_ATCC25175_V1_genomic	NZ_AOCB01000004.1	33756	GCF_022869645.1_WP_002221497.1
GCF_000347875.1_ATCC25175_V1_genomic	NZ_AOCB01000004.1	155440	GCF_000007645.1_WP_002470184.1
GCF_000347875.1_ATCC25175_V1_genomic	NZ_AOCB01000005.1	27947	GCF_000007645.1_WP_002485207.1
GCF_000347875.1_ATCC25175_V1_genomic	NZ_AOCB01000006.1	77865	GCF_000007645.1_WP_001829830.1
